Customer_ID,Company_Name,Industry,Segment,Company_Revenue,ARR,Contract_Value,Product_Features_Used,Usage_Frequency,Data_Usage,License_Count,Last_Activity_Date,Engagement_Score,NPS_Score,Support_Requests,Average_Response_Time,Resolution_Time,Health_Score,Churn_Risk_Score,Renewal_Date,CSAT_Score,Customer_Feedback,Upsell_Opportunity,Referral_Count,Custom_Features,API_Calls,Churned,CSM,Days_since_last_activity,Contract_Start_Date,Contract_length
1,Company_1,Finance,Strategic,3250225,11625,8026,3,Daily,8,11,2021-01-07,46.0,-24,1,7,15.0,89.0,40,2025-02-21,73,Negative,False,0,1,11,False,CSM_Str_7,724,2023-07-20,582
2,Company_2,Manufacturing,Emerging,56394,10024,4944,4,Daily,6,12,2021-01-04,6.0,-2,3,16,26.655917704851337,23.0,42,2020-01-01,2,Neutral,False,2,0,10,True,CSM_Eme_17,727,2018-11-12,415
3,Company_3,Education,Mid-Market,3654,11088,553,0,Monthly,11,13,2021-01-02,34.5,-94,7,12,38.79340692041845,30.0,94,2020-01-02,85,Positive,False,2,0,11,True,CSM_Mid_2,729,2019-03-23,285
4,Company_4,Manufacturing,Enterprise,341292,486,10925,2,Weekly,8,5,2021-01-03,81.0,-15,1,13,14.0,84.0,53,2024-07-07,26,Positive,False,0,0,10,False,CSM_Ent_6,728,2023-11-26,224
5,Company_5,Manufacturing,Mid-Market,177870,570,12471,7,Weekly,3,9,2021-01-02,37.0,-47,0,14,17.0,63.0,63,2042-03-31,68,Negative,False,1,2,9,False,CSM_Mid_7,729,2041-06-27,277
6,Company_6,Healthcare,Mid-Market,309820,12740,1964,3,Monthly,4,11,2021-01-02,58.0,-86,5,7,25.0,61.0,93,2035-09-30,74,Neutral,False,1,1,8,False,CSM_Mid_4,729,2035-01-08,265
7,Company_7,Education,Strategic,1593430,10115,4785,6,Weekly,12,11,2021-01-01,50.0,-54,1,8,30.0,81.0,37,2047-12-10,49,Negative,False,1,1,12,False,CSM_Str_17,730,2047-02-18,295
8,Company_8,Education,Enterprise,1108734,26385,3389,4,Weekly,4,12,2021-01-05,13.0,39,2,14,25.0,94.0,63,2030-08-23,29,Neutral,False,0,0,7,False,CSM_Ent_17,726,2029-04-26,484
9,Company_9,Education,Strategic,512875,26225,14238,2,Weekly,0,11,2021-01-02,93.0,87,1,9,24.0,93.0,64,2029-07-28,13,Neutral,False,2,0,10,False,CSM_Str_22,729,2028-12-29,211
10,Company_10,Manufacturing,Mid-Market,224738,21250,3553,6,Monthly,1,9,2021-01-02,56.0,-13,4,9,22.0,60.0,4,2025-10-08,95,Negative,False,0,3,8,False,CSM_Mid_6,729,2024-01-21,626
11,Company_11,Finance,Emerging,32075,30448,16090,7,Daily,3,10,2021-01-07,77.0,58,2,10,22.0,23.0,44,2028-01-28,95,Negative,False,2,1,4,False,CSM_Eme_16,724,2026-07-26,551
12,Company_12,Education,Emerging,9743,7523,1111,3,Weekly,2,9,2021-01-05,47.0,-96,1,14,16.0,50.0,35,2029-05-19,37,Negative,False,1,1,17,False,CSM_Eme_3,726,2028-08-20,272
13,Company_13,Manufacturing,Mid-Market,410012,30964,2119,5,Weekly,6,10,2021-01-03,13.0,-56,6,16,35.87326132752431,40.5,35,2020-01-03,97,Negative,False,0,1,14,True,CSM_Mid_16,728,2018-11-02,427
14,Company_14,Healthcare,Enterprise,39963,41955,7601,6,Weekly,3,11,2021-01-07,30.5,-48,3,14,37.285577715906086,34.5,31,2020-01-04,40,Neutral,False,0,4,12,True,CSM_Ent_9,724,2019-01-30,339
15,Company_15,Finance,Emerging,264724,25483,7653,9,Monthly,5,5,2021-01-05,31.0,56,2,8,29.0,59.0,38,2045-06-13,3,Positive,False,0,1,12,False,CSM_Eme_6,726,2044-06-10,368
16,Company_16,Healthcare,Mid-Market,309820,4816,6587,6,Weekly,2,6,2021-01-04,33.0,68,1,9,20.0,76.0,57,2034-04-06,42,Positive,True,0,0,9,False,CSM_Mid_15,727,2033-04-22,349
17,Company_17,Finance,Enterprise,132822,52689,9816,6,Weekly,0,6,2021-01-06,32.0,-27,2,11,28.0,87.0,98,2049-06-01,5,Negative,True,2,2,9,False,CSM_Ent_22,725,2048-05-03,394
18,Company_18,Manufacturing,Emerging,155098,23593,6062,3,Monthly,1,11,2021-01-04,21.0,-9,2,6,26.0,65.0,46,2026-05-26,54,Negative,False,1,2,9,False,CSM_Eme_2,727,2024-12-29,513
19,Company_19,Technology,Emerging,40422,4988,5054,4,Monthly,4,8,2021-01-02,84.0,-73,2,15,24.0,61.0,72,2031-07-21,20,Negative,True,0,2,14,False,CSM_Eme_18,729,2030-03-12,496
20,Company_20,Finance,Emerging,115513,3766,3070,6,Weekly,5,9,2021-01-06,38.0,-76,1,10,20.0,53.0,32,2028-09-11,87,Neutral,False,1,2,14,False,CSM_Eme_14,725,2028-02-03,221
21,Company_21,Healthcare,Emerging,321448,30373,3146,3,Daily,0,14,2021-01-04,59.0,-82,1,14,19.0,68.0,14,2037-10-26,40,Negative,True,2,2,11,False,CSM_Eme_1,727,2036-12-03,327
22,Company_22,Manufacturing,Enterprise,371847,29634,2605,4,Monthly,0,9,2021-01-03,60.0,68,1,8,26.0,94.0,78,2039-07-04,56,Neutral,False,1,0,11,False,CSM_Ent_30,728,2038-06-28,371
23,Company_23,Finance,Enterprise,96591,14373,4840,5,Daily,9,7,2021-01-06,50.0,-11,2,11,11.0,70.0,5,2036-07-14,19,Negative,False,0,0,7,False,CSM_Ent_9,725,2034-08-06,708
24,Company_24,Technology,Mid-Market,514692,31386,2609,7,Daily,3,12,2021-01-07,59.0,-38,1,15,36.0,51.0,1,2024-08-05,58,Positive,True,1,1,10,False,CSM_Mid_25,724,2023-02-06,546
25,Company_25,Technology,Enterprise,124041,10890,797,6,Weekly,8,8,2021-01-04,54.0,21,1,15,28.0,76.0,80,2036-11-21,41,Neutral,True,1,1,13,False,CSM_Ent_39,727,2035-03-21,611
26,Company_26,Education,Mid-Market,536604,3880,563,8,Daily,1,11,2021-01-01,14.5,72,4,13,46.24154458557382,37.5,20,2020-01-05,57,Positive,False,0,4,6,True,CSM_Mid_15,730,2018-12-03,398
27,Company_27,Education,Emerging,130536,7851,12916,5,Daily,2,10,2021-01-06,38.0,72,3,7,31.0,57.0,22,2028-07-06,28,Neutral,False,1,1,8,False,CSM_Eme_4,725,2027-11-22,227
28,Company_28,Healthcare,Emerging,120932,8351,125,3,Weekly,2,15,2021-01-06,71.0,3,2,10,23.0,33.0,67,2028-12-25,17,Positive,False,1,0,12,False,CSM_Eme_17,725,2027-08-07,506
